u,v,score
0,1,1.0
2,3,0.6374143
4,5,0.6374143
6,7,0.6374143
8,9,0.6374143
10,11,1.0
12,13,1.0
14,15,0.6374164
16,17,0.6374143
18,19,0.6374143
20,21,1.0
22,23,1.0
24,25,0.98276067
26,13,1.0
27,28,1.0
29,30,0.63742536
31,32,0.63742536
33,34,0.6373999
27,35,1.0
36,37,0.6374143
38,39,0.6374143
40,41,1.0
42,43,1.0
44,45,1.0
40,46,1.0
47,48,1.0
49,50,0.6374143
51,52,0.6374143
53,54,0.6374143
55,56,0.6374143
57,58,0.6374143
59,60,0.6374143
61,62,1.0
63,64,1.0
65,66,0.9998343
67,68,0.99999976
69,70,1.0
71,72,1.0
73,74,1.0
75,76,1.0
77,78,1.0
79,80,1.0
81,82,0.6374143
83,84,1.0
85,86,1.0
61,87,1.0
88,89,0.6374143
90,91,0.6374143
92,93,1.0
94,95,1.0
96,97,0.6374142
98,99,0.6374143
100,101,0.6374143
102,103,0.6374143
104,105,1.0
106,107,0.63739955
108,109,0.63739955
110,111,0.63741827
112,113,0.6374143
114,115,1.0
116,117,1.0
118,119,1.0
120,121,1.0
122,123,0.9999008
124,125,0.6374143
126,127,0.6374143
128,129,0.6374143
130,131,0.6374143
132,133,0.6374143
134,135,0.6374143
136,137,0.6374143
138,139,0.6374143
140,141,0.6374143
142,143,0.6374143
144,145,0.6374143
146,147,0.6374143
148,105,1.0
149,150,0.6374143
151,152,0.6374143
153,154,0.6374143
155,156,0.6374143
157,158,0.6374143
159,160,0.6374143
161,115,1.0
162,163,0.6374143
164,165,0.6374143
166,167,0.6374143
168,169,0.6374143
170,171,0.6374143
172,173,0.6374143
174,175,0.6374143
176,177,0.6374143
178,179,0.6374143
180,181,0.6374143
182,183,0.6374143
184,185,0.6374143
20,186,0.9999968
187,188,0.6374143
189,190,0.6374143
191,192,0.6374143
