u,v,score
0,1,0.8836355
2,3,0.1992889
4,5,0.34893587
6,7,0.27372319
8,9,0.61092865
10,11,0.8822068
12,13,0.43029076
14,15,0.91505986
16,17,0.11147441
18,19,0.27691343
20,21,0.91191065
22,23,0.02471466
24,25,0.39987865
26,13,0.28588623
27,28,0.048444413
29,30,0.29023728
31,32,0.11300991
33,34,0.21691012
27,35,0.9068479
36,37,0.9521759
38,39,0.3599922
40,41,0.2580755
42,43,0.05128975
44,45,0.13839558
40,46,0.027945597
47,48,0.63658744
49,50,0.2818379
51,52,0.17080446
53,54,0.19599564
55,56,0.93834645
57,58,0.96397567
59,60,0.77717024
61,62,0.4210467
63,64,0.35847223
65,66,0.35405
67,68,0.10385445
69,70,0.15647791
71,72,0.038876735
73,74,0.07024341
75,76,0.07905233
77,78,0.047131684
79,80,0.90042394
81,82,0.14278749
83,84,0.043193404
85,86,0.24284038
61,87,0.2446565
88,89,0.036982447
90,91,0.93982667
92,93,0.8806013
94,95,0.7345781
96,97,0.19427481
98,99,0.13967077
100,101,0.8773459
102,103,0.35398018
104,105,0.14030845
106,107,0.81232285
108,109,0.073525324
110,111,0.44358182
112,113,0.18753599
114,115,0.31084174
116,117,0.105380476
118,119,0.9875475
120,121,0.936584
122,123,0.88505876
124,125,0.88064575
126,127,0.34200382
128,129,0.058956776
130,131,0.49153274
132,133,0.4306082
134,135,0.10024286
136,137,0.2756947
138,139,0.2415928
140,141,0.81984425
142,143,0.9797354
144,145,0.13679361
146,147,0.729795
148,105,0.045011945
149,150,0.8891054
151,152,0.055294584
153,154,0.96740127
155,156,0.024778552
157,158,0.14031102
159,160,0.9043303
161,115,0.20543739
162,163,0.46746546
164,165,0.39150813
166,167,0.9506805
168,169,0.36827502
170,171,0.2744986
172,173,0.17922357
174,175,0.28343987
176,177,0.88555676
178,179,0.8956692
180,181,0.3179675
182,183,0.4413453
184,185,0.9173211
20,186,0.0450899
187,188,0.15517148
189,190,0.1546343
191,192,0.9652896
