u,v,score
76,86,-3.833524
76,95,-3.8417854
11,45,-3.953303
86,95,-3.984335
66,86,-4.0915246
11,27,-4.136084
11,43,-4.2024503
86,93,-4.252011
61,123,-4.3043227
66,76,-4.3685083
86,123,-4.3776345
11,28,-4.40812
66,95,-4.434004
95,123,-4.4524384
76,93,-4.4777975
76,123,-4.488241
41,45,-4.5365305
76,80,-4.549241
80,86,-4.5513616
66,93,-4.5744476
93,123,-4.586711
41,61,-4.6149116
11,95,-4.622509
93,95,-4.641423
41,48,-4.6667404
41,76,-4.69363
66,123,-4.7104635
80,95,-4.724499
78,80,-4.7544937
41,43,-4.774478
76,78,-4.845826
78,86,-4.8471017
41,66,-4.871274
64,86,-4.9016085
72,76,-4.9170065
80,93,-4.9498496
11,123,-4.9626017
78,95,-4.965853
72,95,-4.9756536
80,123,-5.0061507
61,121,-5.021087
35,95,-5.0226154
95,121,-5.0459156
72,86,-5.050865
61,186,-5.077964
66,80,-5.0948687
41,72,-5.100537
95,186,-5.120449
41,64,-5.1689568
41,78,-5.1736965
35,86,-5.1838713
64,66,-5.1857996
87,95,-5.1941395
41,46,-5.196207
72,80,-5.205617
72,123,-5.209406
66,78,-5.2105627
64,76,-5.219884
64,93,-5.2203465
35,93,-5.248171
86,121,-5.24942
95,119,-5.2606297
61,119,-5.2810593
76,121,-5.2822886
64,95,-5.2865467
76,186,-5.291179
78,93,-5.294216
64,80,-5.2995872
64,123,-5.301697
78,123,-5.3018246
86,186,-5.31595
72,78,-5.345479
72,93,-5.348704
35,121,-5.35522
64,78,-5.3703747
76,119,-5.3807406
121,123,-5.3821707
93,121,-5.398283
21,87,-5.400428
66,121,-5.403237
76,87,-5.4210386
21,95,-5.448142
66,72,-5.4567447
35,45,-5.4726887
119,123,-5.4745617
35,72,-5.4781303
62,95,-5.478506
11,186,-5.478786
11,121,-5.4850883
123,186,-5.500021
72,186,-5.502722
35,87,-5.5053034
21,119,-5.5093355
87,119,-5.513727
93,186,-5.539538
21,61,-5.5416684
80,121,-5.5541945
66,186,-5.5743475
86,87,-5.5874977
64,72,-5.595709
121,186,-5.596468
35,186,-5.5966177
61,117,-5.608338
35,80,-5.60845
72,121,-5.615988
66,119,-5.6183276
62,76,-5.6187973
11,115,-5.624962
1,76,-5.6263094
87,123,-5.647771
62,123,-5.66161
80,186,-5.6626415
21,28,-5.666985
86,117,-5.6686506
1,80,-5.706256
86,119,-5.709334
62,87,-5.709983
1,72,-5.728503
78,186,-5.7315884
1,48,-5.757215
1,95,-5.7573957
66,87,-5.7587442
21,76,-5.762554
41,62,-5.7629566
76,117,-5.76499
11,117,-5.770381
62,121,-5.7778063
1,61,-5.7802835
35,43,-5.785593
62,86,-5.7908716
80,87,-5.805187
41,70,-5.831879
78,121,-5.837387
70,93,-5.8509083
1,86,-5.851022
119,121,-5.8595476
64,186,-5.865798
95,117,-5.8665113
70,86,-5.875974
93,119,-5.8786716
72,117,-5.881603
93,117,-5.9014983
87,93,-5.903558
64,121,-5.909886
72,119,-5.9202967
119,186,-5.9227734
1,123,-5.924443
70,80,-5.933587
1,78,-5.9477434
35,78,-5.9589405
70,123,-5.9589777
21,86,-5.9654865
64,117,-5.965682
80,115,-5.975747
62,66,-5.976081
62,80,-5.979268
87,121,-5.9864006
72,87,-5.987789
86,115,-5.9889774
117,123,-5.9984016
62,72,-5.999198
62,119,-5.9993362
80,105,-6.006055
11,119,-6.0109634
70,76,-6.013653
62,93,-6.02097
21,27,-6.0276465
70,95,-6.044281
1,93,-6.0538483
66,117,-6.0695705
78,117,-6.073619
66,70,-6.080787
80,119,-6.090071
78,87,-6.1151066
11,105,-6.1169634
87,186,-6.117764
80,117,-6.1235046
1,66,-6.1399536
21,35,-6.146456
117,186,-6.1572046
62,186,-6.165682
21,66,-6.174164
117,121,-6.174506
1,87,-6.204873
1,121,-6.206541
21,45,-6.21294
78,119,-6.214836
21,123,-6.218981
95,105,-6.226531
86,105,-6.228936
1,186,-6.229476
76,105,-6.2558594
64,70,-6.289098
78,115,-6.314442
35,46,-6.317957
78,105,-6.3252373
95,115,-6.3359456
70,72,-6.3452992
1,64,-6.348523
1,62,-6.3610096
70,121,-6.3706713
62,78,-6.3733783
21,62,-6.373544
72,115,-6.38395
64,119,-6.389839
70,186,-6.3969784
70,78,-6.399855
21,41,-6.407563
64,115,-6.419527
21,80,-6.425308
11,21,-6.428695
62,64,-6.442708
1,119,-6.4662447
21,72,-6.466881
93,115,-6.472254
21,93,-6.4734054
64,87,-6.4784155
64,105,-6.4859414
93,105,-6.5018044
21,186,-6.5079017
115,117,-6.5231566
72,105,-6.5233717
21,121,-6.5293436
21,48,-6.533451
62,70,-6.5870204
21,78,-6.5945196
105,123,-6.5946274
1,70,-6.6143084
21,43,-6.6716824
66,115,-6.6781607
115,123,-6.6908407
70,87,-6.693051
66,105,-6.7266626
1,105,-6.7592406
105,186,-6.760077
70,119,-6.79804
62,117,-6.8157253
105,115,-6.842334
115,186,-6.8655205
1,117,-6.8715544
105,121,-6.8857384
115,121,-6.8939304
117,119,-6.905674
70,117,-6.9073105
1,115,-7.0068684
70,105,-7.021598
21,64,-7.0383716
35,105,-7.0601177
105,117,-7.067586
87,117,-7.1495047
35,115,-7.2539186
21,70,-7.2854185
62,105,-7.290667
21,46,-7.3034697
87,105,-7.3775587
70,115,-7.38688
62,115,-7.508733
105,119,-7.535619
21,105,-7.6481314
21,117,-7.6709065
87,115,-7.7017803
115,119,-7.768882
21,115,-8.164139
83,95,-11.042866
76,83,-11.065413
61,83,-11.14978
28,83,-11.172803
27,83,-11.336703
83,86,-11.383702
83,87,-11.386088
45,83,-11.39397
72,83,-11.40025
35,83,-11.433681
11,83,-11.447812
21,83,-11.4509115
83,121,-11.475556
62,83,-11.482871
83,123,-11.494173
1,83,-11.521322
48,83,-11.536086
41,83,-11.5555105
66,83,-11.556413
43,83,-11.568212
83,186,-11.571132
83,119,-11.598579
83,93,-11.61221
80,83,-11.630467
119,137,-11.762801
78,83,-11.791421
76,166,-11.815745
83,117,-11.879674
21,137,-11.881338
61,166,-11.900462
46,83,-11.919906
87,137,-11.933594
64,83,-11.956647
95,166,-12.062244
28,166,-12.063849
35,137,-12.1473255
86,166,-12.154832
87,173,-12.168525
61,137,-12.176305
70,83,-12.181914
45,166,-12.185668
95,137,-12.201762
27,166,-12.202937
123,137,-12.222496
13,61,-12.244667
28,137,-12.263151
83,105,-12.2644615
83,115,-12.274016
76,137,-12.304732
13,95,-12.315463
123,166,-12.341897
13,28,-12.354437
66,166,-12.384871
62,137,-12.388396
48,166,-12.388879
72,166,-12.397482
86,137,-12.40284
61,173,-12.426595
35,166,-12.430743
13,119,-12.440444
13,123,-12.441061
13,86,-12.446004
13,76,-12.446967
95,173,-12.449937
66,137,-12.451909
21,173,-12.459426
13,66,-12.468076
41,166,-12.468597
43,166,-12.507548
76,173,-12.519887
11,166,-12.532073
121,137,-12.535143
28,173,-12.538884
27,137,-12.550204
80,166,-12.555854
93,166,-12.558978
166,186,-12.570106
13,21,-12.571062
13,27,-12.595231
13,35,-12.608742
121,166,-12.616344
95,112,-12.616618
119,166,-12.633031
41,137,-12.636579
46,166,-12.648644
1,166,-12.657657
13,93,-12.663063
72,137,-12.666836
13,41,-12.668805
93,137,-12.67027
123,173,-12.675952
86,173,-12.686722
13,45,-12.691147
106,119,-12.692555
45,137,-12.697189
13,87,-12.7082
62,166,-12.708898
87,166,-12.711432
137,186,-12.715196
61,112,-12.721555
45,112,-12.730714
78,166,-12.748623
76,112,-12.753568
95,170,-12.755317
28,112,-12.760407
27,173,-12.773516
45,173,-12.778249
119,173,-12.791568
13,121,-12.800328
61,106,-12.801351
80,137,-12.802123
78,137,-12.811374
87,99,-12.815083
76,106,-12.8231535
13,48,-12.8232975
70,137,-12.82869
11,137,-12.840275
13,64,-12.848865
117,166,-12.850374
13,78,-12.851745
64,166,-12.858821
61,170,-12.861018
35,106,-12.8708105
35,173,-12.871699
95,106,-12.872182
13,72,-12.884437
28,170,-12.885254
106,123,-12.886234
21,106,-12.887592
1,137,-12.888194
13,43,-12.891387
48,137,-12.894278
61,99,-12.9022665
28,106,-12.90342
11,13,-12.906648
80,173,-12.910947
36,61,-12.91524
86,106,-12.924512
87,143,-12.925435
87,170,-12.925473
41,173,-12.930968
21,170,-12.943101
27,112,-12.943187
119,170,-12.943976
13,186,-12.948424
11,173,-12.949187
11,112,-12.962683
86,112,-12.962959
95,99,-12.963702
36,95,-12.965134
21,36,-12.965346
28,36,-12.966584
76,99,-12.970049
13,62,-12.970626
43,137,-12.973504
36,86,-12.979691
48,112,-12.979887
21,99,-12.98264
72,173,-12.985824
13,80,-12.987115
36,123,-12.989456
66,106,-12.990539
62,173,-12.991197
43,112,-12.997209
119,143,-13.000426
1,173,-13.002091
21,143,-13.010222
43,173,-13.016236
76,170,-13.016702
48,173,-13.018981
66,173,-13.041893
35,170,-13.0448675
87,106,-13.049045
64,137,-13.051352
36,66,-13.051761
36,119,-13.053891
93,173,-13.058673
80,112,-13.064221
28,99,-13.077459
115,166,-13.0849695
36,76,-13.087811
123,170,-13.089478
21,166,-13.090911
70,166,-13.097781
78,173,-13.100736
86,170,-13.12617
93,106,-13.137549
121,173,-13.144782
13,70,-13.154268
66,170,-13.156487
72,112,-13.159046
46,112,-13.168141
35,36,-13.169679
86,99,-13.175181
21,49,-13.177393
99,119,-13.185597
41,112,-13.197885
36,93,-13.205166
36,87,-13.206071
62,170,-13.213288
173,186,-13.220422
105,166,-13.222286
99,123,-13.222958
41,106,-13.223283
27,170,-13.235739
72,106,-13.24815
27,106,-13.261432
36,45,-13.268388
27,99,-13.2767
27,36,-13.280646
36,41,-13.293289
76,143,-13.295968
117,137,-13.297507
35,143,-13.297941
45,99,-13.29932
62,106,-13.302542
106,121,-13.30256
78,112,-13.32043
35,99,-13.32346
70,173,-13.324912
13,117,-13.32816
